txn_date,is_stationary,amount,amount_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
2021-04-12,False,2031.75,258.6500000000001,258.6500000000001,-500.9000000000001,-676.0,915.5,-160.5,-19.0,-274.3000000000002
2021-04-13,False,2002.5,-29.25,-29.25,258.6500000000001,-500.9000000000001,-676.0,915.5,-160.5,-19.0
2021-04-14,False,2757.0,754.5,754.5,-29.25,258.6500000000001,-500.9000000000001,-676.0,915.5,-160.5
2021-04-15,False,2067.3,-689.6999999999998,-689.6999999999998,754.5,-29.25,258.6500000000001,-500.9000000000001,-676.0,915.5
2021-04-16,False,2179.0,111.69999999999982,111.69999999999982,-689.6999999999998,754.5,-29.25,258.6500000000001,-500.9000000000001,-676.0
2021-04-17,False,3287.75,1108.75,1108.75,111.69999999999982,-689.6999999999998,754.5,-29.25,258.6500000000001,-500.9000000000001
2021-04-18,False,2442.0,-845.75,-845.75,1108.75,111.69999999999982,-689.6999999999998,754.5,-29.25,258.6500000000001
2021-04-19,False,2467.75,25.75,25.75,-845.75,1108.75,111.69999999999982,-689.6999999999998,754.5,-29.25
2021-04-20,False,2405.25,-62.5,-62.5,25.75,-845.75,1108.75,111.69999999999982,-689.6999999999998,754.5
2021-04-21,False,1930.25,-475.0,-475.0,-62.5,25.75,-845.75,1108.75,111.69999999999982,-689.6999999999998
2021-04-22,False,2023.6,93.34999999999991,93.34999999999991,-475.0,-62.5,25.75,-845.75,1108.75,111.69999999999982
2021-04-23,False,2176.0,152.4000000000001,152.4000000000001,93.34999999999991,-475.0,-62.5,25.75,-845.75,1108.75
2021-04-24,False,2601.75,425.75,425.75,152.4000000000001,93.34999999999991,-475.0,-62.5,25.75,-845.75
2021-04-25,False,2144.0,-457.75,-457.75,425.75,152.4000000000001,93.34999999999991,-475.0,-62.5,25.75
2021-04-26,False,1962.5,-181.5,-181.5,-457.75,425.75,152.4000000000001,93.34999999999991,-475.0,-62.5
2021-04-27,False,2271.0,308.5,308.5,-181.5,-457.75,425.75,152.4000000000001,93.34999999999991,-475.0
2021-04-28,False,3410.0,1139.0,1139.0,308.5,-181.5,-457.75,425.75,152.4000000000001,93.34999999999991
2021-04-29,False,2851.25,-558.75,-558.75,1139.0,308.5,-181.5,-457.75,425.75,152.4000000000001
2021-04-30,False,2709.75,-141.5,-141.5,-558.75,1139.0,308.5,-181.5,-457.75,425.75
2021-05-01,False,1774.5,-935.25,-935.25,-141.5,-558.75,1139.0,308.5,-181.5,-457.75
2021-05-02,False,1977.0,202.5,202.5,-935.25,-141.5,-558.75,1139.0,308.5,-181.5
