txn_date,is_stationary,amount,amount_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13
2020-09-20,False,2670.25,2670.25,2670.25,3311.5,1861.8,2839.25,3265.5,3354.85,2243.75,2034.55,1895.25,2457.0,3512.5,2372.55,2286.55
2020-09-21,False,2312.6000000000004,2312.6000000000004,2312.6000000000004,2670.25,3311.5,1861.8,2839.25,3265.5,3354.85,2243.75,2034.55,1895.25,2457.0,3512.5,2372.55
2020-09-22,False,2060.0,2060.0,2060.0,2312.6000000000004,2670.25,3311.5,1861.8,2839.25,3265.5,3354.85,2243.75,2034.55,1895.25,2457.0,3512.5
2020-09-23,False,1885.0,1885.0,1885.0,2060.0,2312.6000000000004,2670.25,3311.5,1861.8,2839.25,3265.5,3354.85,2243.75,2034.55,1895.25,2457.0
2020-09-24,False,2501.25,2501.25,2501.25,1885.0,2060.0,2312.6000000000004,2670.25,3311.5,1861.8,2839.25,3265.5,3354.85,2243.75,2034.55,1895.25
2020-09-25,False,3080.5,3080.5,3080.5,2501.25,1885.0,2060.0,2312.6000000000004,2670.25,3311.5,1861.8,2839.25,3265.5,3354.85,2243.75,2034.55
2020-09-26,False,3256.75,3256.75,3256.75,3080.5,2501.25,1885.0,2060.0,2312.6000000000004,2670.25,3311.5,1861.8,2839.25,3265.5,3354.85,2243.75
2020-09-27,False,2001.5,2001.5,2001.5,3256.75,3080.5,2501.25,1885.0,2060.0,2312.6000000000004,2670.25,3311.5,1861.8,2839.25,3265.5,3354.85
2020-09-28,False,3304.75,3304.75,3304.75,2001.5,3256.75,3080.5,2501.25,1885.0,2060.0,2312.6000000000004,2670.25,3311.5,1861.8,2839.25,3265.5
2020-09-29,False,1743.5,1743.5,1743.5,3304.75,2001.5,3256.75,3080.5,2501.25,1885.0,2060.0,2312.6000000000004,2670.25,3311.5,1861.8,2839.25
